mix_id,cement,bfs,fa,water,binder,w_b,fa_b,bfs_b,temp,Su,E0,alpha,t0,R2
D3,558.84,0.0,0.0,279.42,558.84,0.5,0.0,0.0,5.0,44.05345860753556,42127.762742897554,0.010199889519799365,0.7900515159838676,0.9900559933168878
D3,558.84,0.0,0.0,279.42,558.84,0.5,0.0,0.0,10.0,42.392265114484985,41872.2042389483,0.009998496030138188,0.7387643858814421,0.9642323265211392
D3,558.84,0.0,0.0,279.42,558.84,0.5,0.0,0.0,20.0,41.468118044138734,39079.966604078814,0.0035345449841635134,0.4778544114924951,0.9597571506507109
D3,558.84,0.0,0.0,279.42,558.84,0.5,0.0,0.0,30.0,44.439848285196454,40907.58483709618,0.00245697820023749,2.980900711349657e-14,0.9134414736999155
D3,558.84,0.0,0.0,279.42,558.84,0.5,0.0,0.0,40.0,36.73431348831876,40538.06095889973,0.00585467239755964,6.965257619069674e-16,0.8974225764357306
D4,626.14,0.0,0.0,313.07,626.14,0.5,0.0,0.0,5.0,39.540548172240975,44204.86309683414,0.03068530138021399,0.8297177297966432,0.9999528014325694
D4,626.14,0.0,0.0,313.07,626.14,0.5,0.0,0.0,10.0,48.765190253929944,39882.83665158487,0.0019689012093565207,1.4634855500603332,0.9884420067541684
D4,626.14,0.0,0.0,313.07,626.14,0.5,0.0,0.0,20.0,41.52810168006795,39598.55255203117,0.03029112726359859,0.583746249527229,0.9997994189798696
D4,626.14,0.0,0.0,313.07,626.14,0.5,0.0,0.0,30.0,47.92578052125886,39569.601902543174,1e-05,0.33296979903612384,0.9934120587312968
D4,626.14,0.0,0.0,313.07,626.14,0.5,0.0,0.0,40.0,42.78106320720705,41468.44424987641,0.017986679500802072,0.053375564204805784,0.9956897199381353
D5,589.24,0.0,0.0,353.54,589.24,0.5999932115945965,0.0,0.0,5.0,35.904363886889485,42171.617979802526,0.012178513978513744,1.7306449991430386,0.9991471535619706
D5,589.24,0.0,0.0,353.54,589.24,0.5999932115945965,0.0,0.0,10.0,36.937072687927056,43856.232696128325,0.021056985514113054,0.8158338083482645,0.9987519719721977
D5,589.24,0.0,0.0,353.54,589.24,0.5999932115945965,0.0,0.0,20.0,41.37452682303659,40578.91707615848,0.012653619275466894,0.6778280218914956,0.9993286751843156
D5,589.24,0.0,0.0,353.54,589.24,0.5999932115945965,0.0,0.0,30.0,37.6709006473619,39829.97787778388,0.011844597340630265,0.5370482228668952,0.9644079573097744
D5,589.24,0.0,0.0,353.54,589.24,0.5999932115945965,0.0,0.0,40.0,37.863238364113,41956.68558650516,0.012024371617265599,3.13260331136714e-14,0.9914827311322282
